name,bird_size,wing_length,head_pattern,wing_pattern
Black_footed_Albatross,21.03055555555556,0.8174603174603174,plain,solid
Laysan_Albatross,20.93846153846154,0.626984126984127,plain,solid
Sooty_Albatross,18.115384615384613,0.6666666666666666,plain,solid
Groove_billed_Ani,11.651428571428571,0.06349206349206349,plain,solid
Crested_Auklet,13.900000000000002,0.0873015873015873,crested,solid
Least_Auklet,10.875000000000002,0.03968253968253968,plain,multi-colored
Parakeet_Auklet,12.672727272727272,0.11904761904761904,eyeline,solid
Rhinoceros_Auklet,15.46875,0.15873015873015872,plain,solid
Brewer_Blackbird,9.123076923076923,0.03968253968253968,plain,solid
Red_winged_Blackbird,9.537037037037036,0.047619047619047616,plain,multi-colored
Rusty_Blackbird,7.4222222222222225,0.0,plain,solid
Yellow_headed_Blackbird,8.239285714285716,0.07142857142857142,masked,solid
Bobolink,7.776000000000001,0.03968253968253968,capped,multi-colored
Indigo_Bunting,6.387878787878788,0.015873015873015872,plain,multi-colored
Lazuli_Bunting,6.503125,0.031746031746031744,plain,multi-colored
Painted_Bunting,6.935714285714285,0.0,eyering,multi-colored
Cardinal,6.932,0.023809523809523808,masked,solid
Spotted_Catbird,7.190000000000001,0.015873015873015872,spotted,solid
Gray_Catbird,7.1454545454545455,0.015873015873015872,capped,solid
Yellow_breasted_Chat,6.265714285714285,0.015873015873015872,eyebrow,solid
Eastern_Towhee,6.903225806451613,0.007936507936507936,plain,multi-colored
Chuck_will_Widow,10.799999999999999,0.047619047619047616,spotted,spotted
Brandt_Cormorant,22.42307692307692,0.3968253968253968,plain,solid
Red_faced_Cormorant,24.486363636363638,0.36507936507936506,plain,solid
Pelagic_Cormorant,25.682142857142857,0.47619047619047616,plain,solid
Bronzed_Cowbird,10.468,0.023809523809523808,plain,solid
Shiny_Cowbird,8.592857142857142,0.015873015873015872,plain,solid
Brown_Creeper,5.6000000000000005,0.023809523809523808,striped,striped
American_Crow,11.688888888888886,0.0873015873015873,plain,solid
Fish_Crow,10.903225806451612,0.12698412698412698,plain,solid
Black_billed_Cuckoo,8.186486486486487,0.03968253968253968,plain,solid
Mangrove_Cuckoo,8.565625,0.03968253968253968,capped,solid
Yellow_billed_Cuckoo,7.483333333333333,0.14285714285714285,capped,solid
Gray_crowned_Rosy_Finch,7.192592592592592,0.023809523809523808,capped,multi-colored
Purple_Finch,5.59375,0.023809523809523808,plain,striped
Northern_Flicker,8.628947368421052,0.06349206349206349,malar,spotted
Acadian_Flycatcher,5.327777777777778,0.007936507936507936,plain,striped
Great_Crested_Flycatcher,6.018181818181818,0.047619047619047616,plain,striped
Least_Flycatcher,5.196875,0.023809523809523808,eyering,striped
Olive_sided_Flycatcher,6.609677419354839,0.023809523809523808,plain,solid
Scissor_tailed_Flycatcher,8.675675675675677,0.14285714285714285,plain,multi-colored
Vermilion_Flycatcher,5.6,0.023809523809523808,eyeline,solid
Yellow_bellied_Flycatcher,5.2696969696969695,0.0,plain,striped
Frigatebird,23.368181818181817,0.46825396825396826,plain,solid
Northern_Fulmar,15.564285714285715,0.5,plain,solid
Gadwall,14.305714285714286,0.23809523809523808,plain,solid
American_Goldfinch,6.0120000000000005,0.007936507936507936,capped,multi-colored
European_Goldfinch,7.306060606060607,0.05555555555555555,unique,multi-colored
Boat_tailed_Grackle,10.2,0.1111111111111111,plain,solid
Eared_Grebe,16.013513513513512,0.2222222222222222,crested,multi-colored
Horned_Grebe,15.32,0.23015873015873015,crested,multi-colored
Pied_billed_Grebe,13.486666666666668,0.18253968253968253,eyering,solid
Western_Grebe,22.68918918918919,0.42857142857142855,capped,spotted
Blue_Grosbeak,7.303333333333334,0.023809523809523808,plain,multi-colored
Evening_Grosbeak,7.125925925925926,0.023809523809523808,eyebrow,multi-colored
Pine_Grosbeak,6.904545454545454,0.007936507936507936,eyeline,multi-colored
Rose_breasted_Grosbeak,6.523809523809524,0.0,plain,multi-colored
Pigeon_Guillemot,14.196296296296294,0.1349206349206349,plain,multi-colored
California_Gull,14.645833333333336,0.5158730158730159,plain,solid
Glaucous_winged_Gull,15.67142857142857,0.6587301587301587,plain,solid
Heermann_Gull,16.348148148148148,0.5238095238095238,plain,solid
Herring_Gull,16.842307692307692,0.5714285714285714,plain,solid
Ivory_Gull,12.995454545454544,0.30158730158730157,plain,solid
Ring_billed_Gull,17.576923076923077,0.5793650793650794,plain,solid
Slaty_backed_Gull,17.021875,0.5714285714285714,plain,multi-colored
Western_Gull,16.5,0.6031746031746031,plain,solid
Anna_Hummingbird,4.366666666666667,0.05555555555555555,unique,multi-colored
Ruby_throated_Hummingbird,4.291666666666667,0.031746031746031744,plain,multi-colored
Rufous_Hummingbird,4.123529411764706,0.07142857142857142,plain,multi-colored
Green_Violetear,5.082142857142857,0.07142857142857142,unique,multi-colored
Long_tailed_Jaeger,15.396428571428572,0.5079365079365079,capped,solid
Pomarine_Jaeger,21.079310344827586,0.47619047619047616,plain,solid
Blue_Jay,7.842857142857143,0.03968253968253968,crested,multi-colored
Florida_Jay,7.617142857142857,0.015873015873015872,plain,multi-colored
Green_Jay,7.664864864864866,0.031746031746031744,unique,solid
Dark_eyed_Junco,5.648000000000001,0.0,plain,solid
Tropical_Kingbird,8.152777777777777,0.1111111111111111,plain,solid
Gray_Kingbird,7.162857142857143,0.007936507936507936,capped,striped
Belted_Kingfisher,8.558064516129033,0.05555555555555555,crested,solid
Green_Kingfisher,6.230434782608695,0.023809523809523808,plain,spotted
Pied_Kingfisher,9.156756756756756,0.1984126984126984,eyebrow,spotted
Ringed_Kingfisher,8.418181818181818,0.09523809523809523,crested,solid
White_breasted_Kingfisher,8.647222222222222,0.09523809523809523,plain,multi-colored
Red_legged_Kittiwake,12.181818181818182,0.3412698412698413,plain,solid
Horned_Lark,6.690625000000001,0.03968253968253968,eyebrow,striped
Pacific_Loon,15.26388888888889,0.2222222222222222,plain,spotted
Mallard,15.08695652173913,0.14285714285714285,plain,multi-colored
Western_Meadowlark,7.8125,0.05555555555555555,eyebrow,striped
Hooded_Merganser,14.036363636363635,0.21428571428571427,unique,multi-colored
Red_breasted_Merganser,13.732142857142858,0.20634920634920634,crested,multi-colored
Mockingbird,7.946666666666667,0.015873015873015872,eyeline,multi-colored
Nighthawk,11.767857142857142,0.12698412698412698,spotted,spotted
Clark_Nutcracker,7.636111111111112,0.07142857142857142,plain,multi-colored
White_breasted_Nuthatch,6.162857142857143,0.06349206349206349,capped,striped
